PyTorch Contributions 12/30/2019-4/3/2021,,
Name,Additions,Subtractions
suo,80869,74873
jerryzh168,61680,45675
ZolotukhinM,47696,18709
ezyang,45300,48805
pritamdamania,42769,30890
AshkanAliabadi,42767,9326
nickgg,32613,6862
kimishpatel,32181,10138
malfet,26791,26220
zasfdgbnm,22671,17215
ljk53,22093,9335
seemethere,20461,15711
vkuzo,19878,7044
rohan-varma,19133,9767
albanD,18320,15251
jamesr66a,17554,8322
smessmer,16834,16568
yf225,15914,7529
SplitInfinity,14763,6185
supriyar,13765,6396
peterbell10,13615,6240
anjali411,13463,5582
IvanKobzarev,12019,2324
Ilia-cher,11166,6846
zou3519,10844,3691
